id,review.status,review.reviewer,review.log,label.fullName.de,label.fullName.en,label.short.de,label.short.en,definition.de,definition.en,hasParent,isSuccessorOf,employsAcceleratorTypes,isInstanceOf,primaryBeamParticles,secondaryBeamParticles,lifeCycle.currentStatus,lifeCycle.operation.startYear,lifeCycle.operation.endYear,hasHost,is_BMBF_FIS,primaryApplications,secondaryApplications,links.homepage.de,links.homepage.en,researchAgenda.path,researchAgenda.layoutGroup,researchAgenda.topics,researchAgenda.objectives,cost.realization__euro,parameters.length__m,parameters.E_0__eV,parameters.E_1__eV,parameters.srPowerLoss__w,cost.operationalPerYear,parameters.luminosity,parameters.repetitionRate,parameters.pulseDuration,parameters.magneticField,parameters.cmEnergy,parameters.electricGradient,parameters.events,isUserFacility,parameters.emittance__mrad,links.references,parameters.powerConsumption__W,hasWorkingGroups,lifeCycle.design.startYear,lifeCycle.realization.startYear
:athena,02: in prereview,,,Helmholtz-ARD Testanlagen für Plasmabeschleunigung,Helmholtz-ARD distributed test facility for plasma acceleration,ATHENA,ATHENA,"Mit ATHENA bündelt die Helmholtz-Gemeinschaft die Beschleuniger-Expertise von sechs ihrer 18 Forschungseinrichtungen. Diese tragen ihre wissenschaftlichen Erkenntnisse zusammen, um kompakte und innovative Plasmabeschleuniger in zwei deutschen Leuchtturmprojekten aufzubauen. Am DESY in Hamburg soll dafür ein Elektronen- und am Helmholtz-Zentrum Dresden-Rossendorf ein Hadronenbeschleuniger entwickelt werden. Mit JuSPARC trägt Jülich dabei Erkenntnisse für das Feld der Elektronenbeschleunigung bei.","With ATHENA, the Helmholtz Association is bundling the accelerator expertise of seven of its 18 research institutions. They are pooling their scientific knowledge to build compact and innovative plasma accelerators in two German lighthouse projects. An electron accelerator is to be developed at DESY in Hamburg and a hadron accelerator at the Helmholtz Centre Dresden-Rossendorf. With JuSPARC, Jülich is contributing findings to the field of electron acceleration.",,,,,,,,2018,,,false,/accelerator-application/science-application/accelerator-research,,,,,test-facilities,"materials.sensor-materials,ultracompact.laser-plasma-injector,ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses",,,,,,,,,,,,,,,false,,,,,,
:berlinpro,01: in preparation,,,Berliner Energierückgewinnung LINac PROjekt,Berlin Energy Recovery LINac PROject,bERLinPro,bERLinPro,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,:athena,,/accelerator/microtron,,electrons,,/facility-life-cycle/4.2.2_decommissioned,2021,,:hzb,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.berlinpro,test-facilities,"materials.high-frequency-resonators,measurement-and-control.high-resolution-diagnostics,energy-supply.erl",facility.energy-efficiency,,,,,,,,,,,,,,false,,,,,,
:kit-atp/flute,02: in prereview,,,Ferninfrarot Linac- und Test-Experiment,Ferninfrarot Linac- und Test-Experiment,FLUTE,FLUTE,"Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht.","Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht.",:kit-atp,,/accelerator/linear-accelerator/,/facility/,electrons,,/facility-life-cycle/3.1_operation,2021,,:kit,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.flute,test-facilities,"materials.high-temperature-superconductivity,beam-modeling.ultra-short-pulses,beam-modeling.s2e-fel-simulation,beam-modeling.machine-learning,measurement-and-control.high-resolution-diagnostics,measurement-and-control.machine-learning,measurement-and-control.high-precision-control",,,,,,,,,,,,,,,false,,,,,,
:juSPARC,01: in preparation,,,Jülicher Zentrum für kurzgepulste Teilchen und Strahlung,Jülich Short-Pulsed Particle and Radiation Center,JuSPARC,JuSPARC,Laserbasierte Testanlage für Beschleunigerforschung mit kurzgepulsten Photonen- und Teilchenstrahlen,Laser-based test facility for accelerator research with short-pulsed photon and particle beams,,,,/facility/laser-facility,,,/facility-life-cycle/3.1_operation,2019,,:fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,
:juSPARC/vega,01: in preparation,,,JuSPARC MIRA,JuSPARC MIRA,,,,,:juSPARC,,,/facility/laser-facility,photons,,/facility-life-cycle/3.1_operation,2019,,:fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,
:juSPARC/sirius,01: in preparation,,,JuSPARC SIRIUS,JuSPARC SIRIUS,,,,,:juSPARC,,,/facility/laser-facility,photons,,/facility-life-cycle/3.1_operation,,,:fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,
:athena/sinbad,01: in preparation,,,Kurze innovative Teilchenpakete und Beschleuniger bei DESY,Short INnovative Bunches and Accelerators at DESY,SINBAD,SINBAD,,,:athena,,,,,,/facility-life-cycle/3.1_operation,,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.sinbad,,,,,,,,,,,,,,,,,false,,,,,,
:athena/sinbad/ares,01: in preparation,,,Beschleuniger-Forschungsexperiment bei SINBAD,Accelerator Research Experiment at SINBAD,ARES,ARES,"Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.","Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.",:athena/sinbad,,/accelerator/linear-accelerator/,,electrons,,/facility-life-cycle/3.1_operation,2020,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.ares,test-facilities,"ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses,beam-modeling.s2e-fel-simulation,beam-modeling.machine-learning,measurement-and-control.machine-learning",,,,,,,,,,,,,,,false,,,,,,
:athena/sinbad/axsis,01: in preparation,,,"Attosekunden-Röntgenforschung, Bildgebung und Spektroskopie","Attosecond X-ray Science, Imaging and Spectroscopy",AXSIS,AXSIS,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,:athena/sinbad,,,,electrons,,/facility-life-cycle/3.1_operation,2019,,:desy,false,/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.ares,test-facilities,,,,,,,,,,,,,,,,false,,,,,,
:berlin-protonen,01: in preparation,,,Protonentherapie von Augentumoren,Protonentherapie von Augentumoren,BerlinProtonen,BerlinProtonen,"BerlinProtonen ist eine auf die Behandlung von Augentumoren spezialisierte Protonentherapieanlage, die gemeinsam vom Helmholtz-Zentrum Berlin (HZB) und der Charité betrieben wird. Protonenstrahlen mit einer Energie von 68 MeV werden eingesetzt, um Augentumore gezielt zu zerstören und dabei das umliegende gesunde Gewebe zu schonen. Die Erfolgsquote bei der Zerstörung von Augentumoren liegt bei über 97 Prozent. In den meisten Fällen wird das Auge nicht nur gerettet, sondern es bleibt auch ein zufriedenstellendes Sehvermögen erhalten. Seit 1998 wurden in der Einrichtung mehr als 3 700 Patienten behandelt.","BerlinProtonen is a proton therapy facility specialising in the treatment of eye tumours, operated jointly by Helmholtz-Zentrum Berlin (HZB) and Charité. Proton beams with an energy of 68 MeV are used to precisely target and destroy eye tumours while sparing surrounding healthy tissue. The treatment has a success rate of over 97% in destroying eye tumours. In most cases, the eye is not only saved, but a satisfactory level of vision is maintained. More than 3,700 patients have been treated at the facility since 1998.",,,,/facility/accelerator-based-facility/medical-facility/beam-therapy/proton-beam-therapy,protons,,/facility-life-cycle/3.1_operation,1998,,:hzb,false,/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
:berlin-protonen/cyclotron,01: in preparation,,,Protonentherapie von Augentumoren,Protonentherapie von Augentumoren,BerlinProtonen Sektorzyklotron,BerlinProtonen sector cyclotron,"Als Hauptbeschleuniger nutzt BerlinProtonen ein Sektorenzyklotron mit vier Ablenkmagneten und zwei Hochfrequenzkomponenten für eine schrittweise Energieübertragung. Auf diese Weise erreichen die Protonen eine Endenergie von 68 Millionen Elektronenvolt, was etwa der halben Lichtgeschwindigkeit entspricht.","As the main accelerator, BerlinProtonen uses a sector cyclotron with four bending magnets and two high-frequency components for a stepwise energy transfer. In this way, the protons reach a final energy of 68 million electronvolts, which corresponds to about half the speed of light.",:berlin-protonen,,/accelerator/cyclotron/sector-cyclotron,/accelerator/cyclotron/sector-cyclotron,protons,,/facility-life-cycle/3.1_operation,1998,,:hzb,false,/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
:berlin-protonen/preaccelerator,01: in preparation,,,Protonentherapie von Augentumoren,Protonentherapie von Augentumoren,BerlinProtonen-Vorbeschleuniger,BerlinProtonen preaccelerator,"Als Vorbeschleuniger verwendet BerlinProtonen einen Van-de-Graaff-Generator mit einer maximalen Spannung von 5,5 Millionen Volt.","As a pre-accelerator, BerlinProtonen uses a Van de Graaff generator with a maximum potential of 5.5 million volts.",:berlin-protonen,,/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,protons,,/facility-life-cycle/3.1_operation,1998,,:hzb,false,/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,
:bessy-2,01: in preparation,,,Berliner Elektronenspeicherring für Synchrotronstrahlung II,Berlin electron storage ring for synchrotron radiation II,BESSY II,BESSY II,Synchrotron-Strahlungsquelle der dritten Generation für weiche Röntgenstrahlung,Synchrotron-Strahlungsquelle der dritten Generation für weiche Röntgenstrahlung,,,/accelerator/synchrotron/booster-synchrotron,/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,electrons,photons,/facility-life-cycle/3.1_operation,1998,2020,:hzb,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.bessy.bessy-ii,user-facilities,"energy-supply.operation-optimization,beam-modeling.machine-learning,measurement-and-control.machine-learning",,,240,,,,,,,20000.0,,,,,true,1E-10,10.1140/epjp/s13360-023-03957-8,9E3,,,
:bessy-2__vsr,01: in preparation,,,Variabler Pulslängenspeicherring ,Variable pulse length storage ring,BESSY II/VSR,BESSY II/VSR,,,,:bessy-2,/accelerator/synchrotron/,/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,electrons,photons,,2020,,:hzb,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.bessy.bessy-vsr,user-facilities,"materials.high-frequency-resonators,beam-modeling.ultra-short-pulses,beam-modeling.machine-learning",user.variable-pulse-structure,40m Euro (HR2015),240,,,,42m (HR2015),,,1500.0,,,,,true,,,,,,
:bessy-3,01: in preparation,,,Berliner Elektronenspeicherring für Synchrotronstrahlung III,Berlin electron storage ring for synchrotron radiation III,BESSY III,BESSY III,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,,:bessy-2__vsr,/accelerator/synchrotron/,/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,electrons,photons,/facility-life-cycle/1.2.1_creating_technical_design,2035,,:hzb,true,/accelerator-application/science-application/matter-research/photon-science,,,,photon-science.bessy.bessy-iii,user-facilities,"cavity-technology.injectors,magnet-technology.undulators,materials.high-frequency-resonators,energy-supply.operation-optimization,energy-supply.networks-and-systems,beam-modeling.machine-learning",facility.energy-efficiency,550m-750m Euro (HR2015),350,,2.5E9,,55m-75m (HR2015),,,,,,,,true,5E-9,10.1140/epjp/s13360-023-03957-8,,,,
:cac,02: in prereview,,,CERN-Beschleunigerkomplex,CERN Accelerator Complex,Accelerator Complex,Accelerator Complex,,,,,,/facility/facility-complex/,,,/facility-life-cycle/3.1_operation,,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/ad,02: in prereview,,,Antiprotonen-Abbremsanlage,Antiproton Decelerator,AD,AD,"Der Antiprotonen-Entschleuniger am CERN ist eine Anlage zur Erzeugung von niederenergetischen Antiprotonen für die Antimaterieforschung. Er verwendet hochenergetische Antiprotonen aus Protonenkollisionen und bremst sie von knapp unter Lichtgeschwindigkeit auf etwa ein Zehntel der Lichtgeschwindigkeit ab. Diese Abbremsung wird durch den Einsatz starker elektrischer Felder erreicht. Darüber hinaus werden Techniken zur Strahlkühlung eingesetzt, um die Energiespreizung und die Abweichung von der gewünschten Bahn zu verringern. ","The Antiproton Decelerator at CERN is a facility used to produce low-energy antiprotons for antimatter research. It takes high-energy antiprotons from proton collisions and slows them down from just below the speed of light to about one-tenth the speed of light. This deceleration is achieved by using strong electric fields. In addition, beam cooling techniques are employed to reduce the spread in energy and deviation from the desired track. ",:cac,,/accelerator/particle-decelerator,/accelerator/particle-decelerator,antiprotons,,/facility-life-cycle/3.1_operation,1999,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/awake__run-1,01: in preparation,,,Fortgeschrittenes plasmabasiertes protonengetriebenes Beschleuningungsexperiment ,Advanced proton driven plasma Wakefield Acceleration Experiment ,AWAKE,AWAKE,"Machbarkeitsstudie über die Verwendung von Plasma-Wakefields, die von einem Protonenstrahl angetrieben werden, um geladene Teilchen zu beschleunigen.",Feasibility study on the use of plasma wakefields driven by a proton beam to accelerate charged particles.,:cac,,,/accelerating-process/plasma-based-acceleration/plasma-based_beam-driven_acceleration,protons,electrons,/facility-life-cycle/4.1_replaced_by_upgrade,2016,2018,:cern,false,/accelerator-application/science-application/accelerator-research,,https://home.cern/science/accelerators/awake,,accelerator-science.accelerators.awake,test-facilities,"materials.high-frequency-resonators,materials.sensor-materials,ultracompact.particle-beam-plasma-accelerator,beam-modeling.ultra-short-pulses",facility.size,,,,,,,,,,,,,,false,,,,,,
:cac/elena,01: in preparation,,,Extra-Niedrigenergie-Antiprotonen-Ring,Extra Low Energy Antiproton ring,ELENA,ELENA,"ELENA (Extra Low ENergy Antiproton) ist ein 30 m langer sechseckiger Speicherring, der Antiprotonenstrahlen abbremst und an verschiedene Experimente liefert. Er soll den vom Antiproton Decelerator AD kommenden Antiprotonenstrahl für präzisere Messungen auf eine Energie von 0,1 MeV abbremsen.",ELENA (Extra Low ENergy Antiproton) is a 30 m hexagonal storage ring that decelerates antiproton beams and delivers it to different experiments. It is designed to further decelerate the antiproton beam coming from the Antiproton Decelerator AD to an energy of 0.1 MeV for more precise measurements.,:cac,,/accelerator/particle-decelerator,/accelerator/particle-decelerator,antiprotons,antiprotons,/facility-life-cycle/3.1_operation,2020,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/isolde,01: in preparation,,,Einrichtung zur Erzeugung radioaktiver Ionenstrahlen,Isotope Separator On Line DEvice,ISOLDE,ISOLDE,"Anlage zur Erzeugung radioaktiver Nuklide durch Spallations-, Spaltungs- oder Fragmentierungsreaktionen in einem dicken Target, das mit einem Protonenstrahl mit einer Energie von 1,4 GeV und einer Intensität bis zu 2 Mikroampere bestrahlt wird.","Facility for the production of radioactive nuclides by spallation, fission or fragmentation reactions in a thick target irradiated with a proton beam with an energy of 1.4 GeV and an intensity of up to 2 microamperes.",:cac,,,/accelerator/particle-decelerator,protons,heavy ions,/facility-life-cycle/3.1_operation,1992,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,hadron-physics.isolde,,,,,,,,,,,,,,,,,true,,,,,,
:cac/lhc,02: in prereview,,,Großer Hadronen-Collider (LHC),Large Hadron Collider (LHC),LHC ,LHC ,,,:cac,,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/3.1_operation,2021,2024,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,
:cac/lhc__run-1,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 1),LHC Run 1,LHC Run 1,,,:cac,:cac/lhc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/4.1_replaced_by_upgrade,2011,2013,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.run-1,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,
:cac/lhc__run-2,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 2),LHC Run 2,LHC Run 2,,,:cac,:cac/lhc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/4.1_replaced_by_upgrade,2015,2018,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.run-2,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,
:cac/lhc__run-3,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider (LHC Run 3),LHC Run 3 ,LHC Run 3 ,,,:cac,:cac/lhc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/3_operation_and_maintenance,2021,2026,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc,user-facilities,,,,27000,,,,,,,,,,,,true,,,,,,
:cac/lhc__run-4,01: in preparation,,,Hochluminöser großer Hadronen-Collider,High-Luminosity Large Hadron Collider (LHC Run 4),HL-LHC (LHC Run 4),HL-LHC (LHC Run 4),"Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.",The HL-LHC is an approved luminosity increase of the LHC. The HL-LHC will be the first accelerator with quadrupole and dipole magnets based on Nb3Sn superconductors and thus an important technological stepping stone for longer-term future projects such as FCC-hh and HE-LHC. The HL-LHC will also be the first hadron collider to use crab cavities.,:cac,:cac/lhc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/2.1_preparation,2030,2033,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.hl-lhc,user-facilities,"materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management",user.data-rate,,27000,,,7.3,,,,,8.3,14000.000,,135.0,true,,,,,,
:cac/lhc__run-5,01: in preparation,,,Hochluminöser großer Hadronen-Collider,High-Luminosity Large Hadron Collider (LHC Run 5),HL-LHC (LHC Run 5),HL-LHC (LHC Run 5),"Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.","Der HL-LHC ist eine genehmigte Luminositätserhöhung des LHC. Der HL-LHC wird der erste Beschleuniger mit Quadrupol- und Dipolmagneten auf Basis von Nb3Sn-Supraleitern und damit ein wichtiges technologisches Sprungbrett für längerfristige Zukunftsprojekte wie FCC-hh und HE-LHC darstellt. Der HL-LHC wird auch der erste Hadronenbeschleuniger sein, der Krabbenhohlräume verwendet.",:cac,:cac/lhc,,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,"protons, heavy ions",,/facility-life-cycle/1.2_technical_design,2036,2038,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,particle-physics.lhc.hl-lhc,user-facilities,"materials.sensor-materials,energy-supply.operation-optimization,energy-supply.load-management",user.data-rate,,27000,,,7.3,,,,,8.3,14000.000,,135.0,true,,,,,,
:cac/linac1,01: in preparation,,,Linearbeschleuniger 1,Linear accelerator 1,Linac 1,Linac 1,,,:cac,,/accelerator/linear-accelerator/,/accelerator/linear-accelerator/,protons,,/facility-life-cycle/3.1_operation,1958,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/linac2,01: in preparation,,,Linearbeschleuniger 2,Linear accelerator 2,Linac 2,Linac 2,,,:cac,,/accelerator/linear-accelerator/,/accelerator/linear-accelerator/,,,/facility-life-cycle/3.1_operation,1978,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/linac3,01: in preparation,,,Linearbeschleuniger 3,Linear accelerator 3,Linac 3,Linac 3,,,:cac,,/accelerator/linear-accelerator/,/accelerator/linear-accelerator/,,,/facility-life-cycle/3.1_operation,1994,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/linac4,01: in preparation,,,Linearbeschleuniger 4,Linear accelerator 4,Linac 4,Linac 4,,,:cac,,/accelerator/linear-accelerator/,/accelerator/linear-accelerator/,,,/facility-life-cycle/3.1_operation,2020,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/ps,01: in preparation,,,Protonen-Synchrotron,Proton Synchrotron,PS,PS,,,:cac,,/accelerator/synchrotron/,/accelerator/synchrotron/,"protons, heavy ions",,/facility-life-cycle/3.1_operation,1959,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/psb,02: in prereview,,,Proton Synchrotron Booster,Proton Synchrotron Booster,PSB,PSB,,,:cac,,/accelerator/synchrotron/,/accelerator/synchrotron/,protons,,/facility-life-cycle/3.1_operation,1972,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
:cac/sps,01: in preparation,,,Super-Protonen-Synchrotron,Super Proton Synchrotron,SPS,SPS,,,:cac,,/accelerator/synchrotron/,/accelerator/synchrotron/,"protons, heavy ions",,/facility-life-cycle/3.1_operation,,,:cern,true,"/accelerator-application/science-application/hadron-physics, /accelerator-application/science-application/high-energy-physics",,,,,,,,,,,,,,,,,,,,,true,,,,,,
