id,review.status,review.reviewer,review.log,hasParent,term.de,term.en,synonyms.de,synonyms.en,definition.de,definition.en,isDomainSpecific,references
/accelerating-process/,01: in preparation,,,,Beschleunigungsprozess,Acceleration Process,,,Elektrisch geladene Teilchen können durch verschiedene elektromagnetische Prozesse beschleunigt werden.,Electrically charged particles can be accelerated via various electromagnetic processes. ,true,
/accelerating-process/induction-acceleration/,01: in preparation,,,/accelerating-process/,Induktionsbeschleunigung,Induction Acceleration,,,"Die Induktionsbeschleunigung ist eine Methode zur Beschleunigung geladener Teilchen mit Hilfe zeitlich veränderlicher Magnetfelder, wobei die beschleunigenden elektrischen Felder durch wechselnde Magnetflüsse erzeugt werden. Dieses Prinzip wird in der Regel in Induktionsbeschleunigern angewandt, die entweder linear oder kreisförmig aufgebaut sein können.","Induction acceleration refers to a method of accelerating charged particles using time-varying magnetic fields, where the accelerating electric fields are generated by changing magnetic fluxes. This principle is commonly employed in induction accelerators, which can be either linear or circular in design.",true,
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,01: in preparation,,,/accelerating-process/electrodynamic-acceleration/,Resonator-basierte Beschleunigung,Resonator-Based Acceleration,,,"Bei der hohlraumbasierten Beschleunigung werden Metallkammern verwendet, in denen dynamische elektromagnetische Felder Energie auf Teilchen übertragen, die den Hohlraum durchqueren.",Cavity Based Acceleration uses metallic chambers containing dynamic electromagnetic fields to transfer energy to particles passing through the cavity.,true,
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,01: in preparation,,,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,Hochfrequenz-Rresonator-basierte  Beschleunigung,Radio Frequency Resonator Based Acceleration,,,,,true,
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/superconducting-cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration,01: in preparation,,,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_radiofrequency-driven_acceleration/,supraleitende Hochfrequenz-Rresonator-basierte Beschleunigung,Superconducting Radio Frequency Resonator Based Acceleration,,,,,true,
/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/cavity-based_terahertz-driven_acceleration,01: in preparation,,,/accelerating-process/electrodynamic-acceleration/cavity-based-acceleration/,Terahertz-Resonator-basierte Beschleunigung,Terahertz Frequency Resonator Based Acceleration,,,,,true,
/accelerating-process/electrodynamic-acceleration/nanophotonic-acceleration,01: in preparation,,,/accelerating-process/electrodynamic-acceleration/,nanophotonische Beschleunigung,Nanophotonic Acceleration,,,"Nanophotonische Beschleunigung, auch dielektrische Laserbeschleunigung (DLA) genannt, beruht auf der Verwendung ultrakurzer Laserpulse zur Anregung starker dynamischer elektromagnetischer Felder in siliziumbasierten Nanostrukturen. Diese starken Felder können dann Teilchen beschleunigen, die durch die Strukturen hindurchfliegen.","Nanophotonic acceleration, also known as dielectric laser acceleration (DLA), is based on the use of ultrashort laser pulses to excite strong dynamic electromagnetic fields in silicon-based nanostructures. These strong fields can then accelerate particles that fly through the structures.",true,
/accelerating-process/electrostatic-acceleration,01: in preparation,,,/accelerating-process/,Elektrostatische Beschleunigung,Electrostatic Acceleration,,,"Geladene Teilchen werden beschleunigt, wenn zwischen einem Elektrodenpaar ein statisches Hochspannungspotenzial herrscht. Dieses Prinzip wird von [elektrostatischen Beschleunigern](#/accelerator/electrostatic-accelerator/) genutzt.",Charged particles are accelerated when there is a static high voltage potential between a pair of electrodes. This process is utilized by [electrostatic accelerators](#/accelerator/electrostatic-accelerator/).,true,
/accelerating-process/plasma-based-acceleration/,01: in preparation,,,/accelerating-process/,Plasmabasierte Beschleunigung,Plasma-Based Acceleration,,,"In Plasmen, ionisierten Gasen aus geladenen Teilchen, können extrem starke elektrische Felder erzeugt werden, wenn sie durch äußere Antriebskräfte wie Laserpulse oder Teilchenstrahlen gestört werden. Diese Felder können genutzt werden, um Teilchen auf hohe Energien zu beschleunigen.","Inside plasmas, ionised gases of charged particles, extremely strong electric fields can be generated when perturbed by external driving forces such as laser pulses or particle beams. These fields can be used to accelerate particles to high energies.",true,
/accelerating-process/plasma-based-acceleration/plasma-based_beam-driven_acceleration,01: in preparation,,,/accelerating-process/plasma-based-acceleration/,plasmabasierte teilchenstrahlgetriebene Beschleunigung,Plasma-Based Beam-Driven Acceleration,"Plasma wakefield acceleration, PWFA","Plasma wakefield acceleration, PWFA","Plasmabasierte Beschleunigung unter Verwendung eines externen Teilchenstrahls als störende Antriebskraft,","Plasma-based acceleration using an external particle beam as the perturbative driving force,",true,
/accelerating-process/plasma-based-acceleration/plasma-based_laser-driven_acceleration,01: in preparation,,,/accelerating-process/plasma-based-acceleration/,plasmabasierte lasergetriebene Beschleunigung,Plasma-Based Laser-Driven Acceleration,Laser-Plasma-Beschleuniger,"Laser wakefield acceleration, LWFA","Plasmabasierte Beschleunigung unter Verwendung eines Laserpulses als störende Antriebskraft,","Plasma-based acceleration using a laser pulse as a perturbing driving force,",true,
/accelerator-application/,01: in preparation,,,,Einsatzbereich von Beschleunigern,Accelerator Applications,,,,,true,
/accelerator-application/industrial-application/,01: in preparation,,,/accelerator-application/,Industrie,Industrial Applications,,,,,true,
/accelerator-application/industrial-application/manufacturing,01: in preparation,,,/accelerator-application/industrial-application/,Produktion und Materialbearbeitung,Manufacturing And Materials Processing,,,"Die Ionenimplantation ist in der Halbleiterindustrie für die Herstellung von digitaler Elektronik von entscheidender Bedeutung. Die Ionenimplantation wird auch zur Härtung von Schneidwerkzeugen und künstlichen menschlichen Gelenken sowie zur Veränderung der Oberflächen von Keramiken und Gläsern eingesetzt. Von Beschleunigern erzeugte Elektronenstrahlen werden für die Vernetzung und Polymerisation von Materialien, die Aushärtung von Tinten und Klebstoffen und den 3D-Druck von Metallen eingesetzt.","Ion Implantation is critical in the semiconductor industry for the fabrication of digital electronics. Ion implantation is also used to harden cutting tools and artificial human joints, and to modify the surfaces of ceramics and glasses. Accelerator-generated electron beams are used for cross-linking and polymerisation of materials, curing of inks and adhesives, and 3D printing of metals.",true,
/accelerator-application/industrial-application/quality-control,01: in preparation,,,/accelerator-application/industrial-application/,Qualitätssicherung,Quality Control,,,,,true,
/accelerator-application/industrial-application/sterilization,01: in preparation,,,/accelerator-application/industrial-application/,Sterilisation,Sterilization,,,"Beschleunigererzeugte Elektronen- und Röntgenstrahlen werden zur Sterilisierung medizinischer Geräte, zur Konservierung und Desinfektion von Lebensmitteln sowie zur Behandlung und Reinigung von Abwässern eingesetzt.","Accelerator-generated electron beams and X-rays are used to sterilise medical equipment, preserve and disinfect food, and treat and purify waste water.",true,
/accelerator-application/industrial-application/transmutation,01: in preparation,,,/accelerator-application/industrial-application/,Transmutation,Transmutation,,,,,true,
/accelerator-application/ion-beam-analysis,01: in preparation,,,/accelerator-application/industrial-application/,Ionenstrahlanalyse,Ion Beam Analysis,,,,,true,
/accelerator-application/medical-application/,01: in preparation,,,/accelerator-application/,Gesundheit ,Health Application,,,,,true,
/accelerator-application/medical-application/proton-therapy,01: in preparation,,,/accelerator-application/medical-application/,Protonentherapie,Proton Therapy,,,Eine medizinische Anwendung von Beschleunigertechnologie,,true,
/accelerator-application/medical-application/radiosotope-production,01: in preparation,,,/accelerator-application/medical-application/,Radioisotopen-Produktion,Radiosotope Production,,,,,true,
/accelerator-application/metrology,01: in preparation,,,/accelerator-application/,Metrologie,Metrology,,,Grundlagen der Metrologie/Radiometrie Metrologie für die Industrie/EUV-Lithographie Forschung und Entwicklung für optische Technologien/Weltrauminstrumente Materialmetrologie/Nanometrologie,,true,
/accelerator-application/science-application/,01: in preparation,,,/accelerator-application/,Forschung,Science,,,,,true,
/accelerator-application/science-application/accelerator-research,01: in preparation,,,/accelerator-application/science-application/,Beschleunigerforschung,Accelerator Science,,,,,true,
/accelerator-application/science-application/hadron-physics,01: in preparation,,,/accelerator-application/science-application/,Hadronen- und Kernphysik,Hadron And Nuclear Physics,,,,,true,
/accelerator-application/science-application/high-energy-physics,01: in preparation,,,/accelerator-application/science-application/,Teilchenphysik,High Energy Physics,,,,,true,
/accelerator-application/science-application/matter-research/neutron-science,01: in preparation,,,/accelerator-application/science-application/,Materieforschung mit Neutronen,Matter Research With Neutrons,,,Nutzung von Neutronen zur Materieforschung,,true,
/accelerator-application/science-application/matter-research/photon-science,01: in preparation,,,/accelerator-application/science-application/,Materieforschung mit Photonen,Matter Research With Photons,,,,,true,
/accelerator-application/security,01: in preparation,,,/accelerator-application/,Sicherheit,Security Applications,,,,,true,
/accelerator-research-subfield/,01: in preparation,,,,Beschleunigerforschung,Accelerator Research Subdomain,,,Als transdisziplinäres Gebiet mit natur- und ingenieurwissenschaftlichen Bezügen läßt sich die Beschleunigerforschung selbst in (sich teilweise überschneidende) Teilbereiche gliedern.,"As a transdisciplinary field with scientific and engineering aspects, accelerator research itself can be organised into (partially overlapping) subfields.",true,
/accelerator-research-subfield/beam-dynamics,01: in preparation,,,/accelerator-research-subfield/,Strahldynamik,Beam Dynamics,,,"Die Strahldynamik befasst sich mit dem Verständnis und der Kontrolle des Verhaltens von Teilchenstrahlen in Beschleunigern. Dazu gehören die Untersuchung von Teilchenbewegungen und -flugbahnen, die Entwicklung von Techniken zur Strahlfokussierung und -lenkung sowie die Analyse von Strahlinstabilitäten und deren Eindämmung.","Beam dynamics focuses on understanding and controlling the behaviour of particle beams in accelerators. This includes the study of particle motion and trajectories, the development of beam focusing and steering techniques, and the analysis of beam instabilities and their mitigation.",true,
/accelerator-research-subfield/cryogenic-engineering,01: in preparation,,,/accelerator-research-subfield/,Kältetechnik,Cryogenic Engineering,,,"Kältetechnik befasst sich mit Temperaturen um -160 °C und darunter, bei denen Gase eine flüssige Form annehmen und als „kryogen“ bezeichnet werden. Sie befasst sich mit der Verflüssigung von Gasen wie Stickstoff, ihrer Lagerung und ihrer Lieferung an den Ort der Verwendung. In der Beschleunigerforschung spielt die Kältetechnik eine entscheidende Rolle für den Betrieb von Beschleunigern mit supraleitenden Komponenten.","Cryogenic engineering focuses on temperatures around -160°C and below, where gases take on a liquid form and are referred to as ""cryogenic"". It involves the study of the liquefaction of gases such as nitrogen, their storage and their delivery to the point of use. In accelerator research, cryogenics plays a vital role in the operation of accelerators with superconducting components.",true,
/accelerator-research-subfield/geodesy-and-alignment,01: in preparation,,,/accelerator-research-subfield/,Vermessung und Justierung,Geodesy And Alignment,,,"Vermessung und Justierung spielen eine entscheidende Rolle beim Erreichen der extremen Präzision, die für moderne Teilchenbeschleuniger erforderlich ist, und wirken sich direkt auf  Strahlqualität und  Versuchsergebnisse aus. Die Vermessung definiert die Koordinatenreferenzsysteme, zu denen alle Komponenten positioniert werden. Die relative Justierung erfordert oft eine Genauigkeit im Submillimeterbereich über große Entfernungen und jahrelange Betriebsdauer.","Geodesy and alignment play a critical role in achieving the extreme precision required for modern particle accelerators, directly affecting beam quality and experimental results. Geodesy defines the coordinate reference systems to which all components are positioned. Relative alignment often requires sub-millimetre accuracy over long distances and years of operation.",true,
/accelerator-research-subfield/instrumentation-and-diagnostics,01: in preparation,,,/accelerator-research-subfield/,Strahldiagnose und Instrumentierung,Beam Diagnostics And Instrumentation,,,,,true,
/accelerator-research-subfield/magnet-technology,01: in preparation,,,/accelerator-research-subfield/,Magnetentwicklung und -optimierung,Magnet Development And Optimization,,,,,true,
/accelerator-research-subfield/operations-and-control,01: in preparation,,,/accelerator-research-subfield/,Beschleunigerbetrieb und -kontrolle,Accelerator Operation And Control,,,"Der Bereich Beschleunigerbetrieb und -steuerung umfasst die Entwicklung von Steuerungssystemen für den Beschleunigerbetrieb, die Verbesserung der Zuverlässigkeit und Effizienz von Beschleunigern und die Anwendung von Techniken des maschinellen Lernens zur Optimierung von Beschleunigern.","Accelerator operations and control includes developing control systems for accelerator operations, improving accelerator reliability and efficiency, and implementing machine learning techniques for accelerator optimization.",true,
/accelerator-research-subfield/simulation,01: in preparation,,,/accelerator-research-subfield/,Modellierung und Simulation,Modeling And Simulation,,,,,true,
/accelerator-research-subfield/vacuum-technology,01: in preparation,,,/accelerator-research-subfield/,Vakuumtechnik,Vacuum Technology,,,,,true,
/accelerator-component/,01: in preparation,,,,Beschleunigerkomponente,Accelerator Component,,,,,true,
/accelerator-component/beam-monitor/,01: in preparation,,,/accelerator-component/,Strahlmonitor,Beam Monitoring,,,"Strahlmonitore sind wichtige Diagnoseinstrumente, die in Teilchenbeschleunigern eingesetzt werden, um das Verständnis und die Optimierung von Teilchenstrahlen zu gewährleisten. Je nachdem, ob die Position, die Energie oder die Intensität von Teilchenstrahlen oder das Quer- oder Längsprofil von Teilchenpaketen gemessen werden soll, kommen verschiedene Arten von Instrumenten zum Einsatz.","Beam monitors are essential diagnostic instruments used in particle accelerators to ensure understanding and optimisation of particle beams. Different types of instruments are employed depending on whether the position, energy or intensity of particle beams, or the transverse or longitudinal profile of particle bunches are to be measured.",true,
/accelerator-component/beam-monitor/energy-monitor,01: in preparation,,,/accelerator-component/beam-monitor/,Strahl Energie Monitor,Beam Energy Monitor,,,,,true,
/accelerator-component/beam-monitor/halo-monitor,01: in preparation,,,/accelerator-component/beam-monitor/,Strahl-Halogen-Monitor,Beam Halo Monitor,,,,,true,
/accelerator-component/collimator,01: in preparation,,,/accelerator-component/,Kollimator,Collimator,,,,,true,
/accelerator-component/laser,01: in preparation,,,/accelerator-component/,Laser,Laser,,,,,true,
/accelerator-component/magnet,01: in preparation,,,/accelerator-component/,Magnet,Magnet,,,Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.,,true,
/accelerator-component/magnet/dipole-magnet,01: in preparation,,,/accelerator-component/magnet,Dipolmagnet,Dipole Magnet,,,Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden,,true,
/accelerator-component/magnet/kicker-magnet,01: in preparation,,,/accelerator-component/magnet,Kicker-Magnet,Kicker Magnet,,,"Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",,true,
/accelerator-component/magnet/quadrupole-magnet,01: in preparation,,,/accelerator-component/magnet,Quadrupol-Magnet,Quadrupole Magnet,,,"Ein Quadrupolmagnet ist eine spezielle Anordnung von vier Magnetpolen, die in Teilchenbeschleunigern und Strahlführungen zur Fokussierung von Teilchenstrahlen eingesetzt wird.  Er fokussiert den Strahl in einer Richtung (z. B. horizontal) und defokussiert ihn in der dazu senkrechten. Um eine Gesamtfokussierung zu erreichen, werden mehrere Quadrupole hintereinander angeordnet (FODO-Struktur).",,true,
/accelerator-component/magnet/sextupole-magnet,01: in preparation,,,/accelerator-component/magnet,Sextupol-Magnet,Sextupole Magnet,,,"Ein Sextupolmagnet besteht aus sechs Magnetpolen, die abwechselnd als Nord- und Südpol um eine Mittelachse angeordnet sind. Sie werden oft in Kombination mit Quadrupolmagneten verwendet, um Fokussierungsfehler, die durch Energieunterschiede der Teilchen entstehen, auszugleichen (chromatische Abberation).",,true,
/accelerator-component/power-converters,01: in preparation,,,/accelerator-component/,Stromwandler,Power Converter,,,,,true,
/accelerator/,01: in preparation,,,,Beschleuniger,Accelerator,,,,,true,
/accelerator/accelerator-complex,01: in preparation,,,/accelerator/,Beschleunigerkomplex,Accelerator Complex,,,,,true,
/accelerator/cyclotron,01: in preparation,,,/accelerator/,Zyklotron,Cyclotron,,,,,true,
/accelerator/cyclotron/sector-cyclotron,01: in preparation,,,/accelerator/,Sektor-Zyklotron,Sector Cyclotron,,,,,true,
/accelerator/electrostatic-accelerator/,01: in preparation,,,/accelerator/,Elektrostatischer Beschleuniger,Electrostatic Accelerator,,,,,true,
/accelerator/electrostatic-accelerator/cockcroft-walton-accelerator,01: in preparation,,,/accelerator/electrostatic-accelerator/,Cockcroft-Walton-Beschleuniger,Cockcroft-Walton Accelerator,,,,,true,
/accelerator/electrostatic-accelerator/dynamitron-accelerator,01: in preparation,,,/accelerator/electrostatic-accelerator/,Dynamitron-Beschleuniger,Dynamitron Accelerator,,,,,true,
/accelerator/electrostatic-accelerator/pelletron-accelerator,01: in preparation,,,/accelerator/electrostatic-accelerator/,Pelletron-Beschleuniger,Pelletron Accelerator,,,,,true,
/accelerator/electrostatic-accelerator/tandem-van-de-graaff-accelerator,01: in preparation,,,/accelerator/electrostatic-accelerator/,Tandem Van de Graaff Beschleuniger,Tandem Van De Graaff Accelerator,,,,,true,
/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,01: in preparation,,,/accelerator/electrostatic-accelerator/,Van-de-Graaff-Beschleuniger,Van De Graaff Accelerator,,,,,true,
/accelerator/microtron,01: in preparation,,,/accelerator/,Mikrotron,Microtron,,,"Beschleuniger für vor allem Elektronen, bei dem die Teilchen wiederholt durch dieselbe Beschleunigungskomponente (in der Regel ein Mikrowellenresonator) beschleunigt werden. Die Wiederverwendung der Beschleunigungskomponente wird durch ein konstantes Magnetfeld ermöglicht, das die Teilchen auf einer geschlossenen Bahn hält. Mit zunehmender Teilchenenergie nimmt auch die Größe der Bahn zu. Die erreichbaren Energien sind daher durch die Größe des Geräts und die Magnetstärke begrenzt.","Accelerator, primarily for electrons, in which the particles are repeatedly accelerated by the same acceleration component (usually a microwave resonator). The reuse of the acceleration component is made possible by a constant magnetic field, which keeps the particles on a closed path. As the particle energy increases, the size of the path also increases. The achievable energies are therefore limited by the size of the device and the magnetic strength.",true,
/accelerator/linear-accelerator/,01: in preparation,,,/accelerator/,Linearbeschleuniger,Linear Accelerator,Linac,linac,,,true,
/accelerator/linac/high-power-proton-linac,01: in preparation,,,/accelerator/linear-accelerator/,Hochleistungs-Protonen-Linac,High Power Proton Linac,,,,,true,
