id,meta.changelog,meta.status,meta.parentId,meta.localId,meta.reviewedBy,isPartOfCommunity,label.short-form.de,label.long-form.de,label.long-form.en,description.de,meta.organizationalLevel,meta.befideOrganizationCategories,homepage__de,homepage__en,location.country,location.city,location.lat,location.lng,rorId
root.cern,,01 in preparation,root,cern,,checked,CERN,Europäische Organisation für Kernforschung,European Organization for Nuclear Research,,01 affiliation,international,http://home.web.cern.ch/,http://home.web.cern.ch/,Schweiz,Geneva,46.202220,6.145690,https://ror.org/01ggx4157
root.cfel,,01 in preparation,root,cfel,,checked,CFEL,Center for Free-Electron Laser Science,Center for Free-Electron Laser Science,,01 affiliation,"hgf,university,mpg",https://www.cfel.de/,https://www.cfel.de/,Deutschland,Hamburg,53.550730,9.993020,https://ror.org/04fme8709
root.desy,,01 in preparation,root,desy,,checked,DESY,Deutsches Elektronen-Synchrotron DESY,Deutsches Elektronen-Synchrotron DESY,,01 affiliation,hgf,http://www.desy.de/index_eng.html,http://www.desy.de/index_eng.html,Deutschland,Hamburg,53.550730,9.993020,https://ror.org/01js2sh04
root.esrf,,01 in preparation,root,esrf,,checked,ESRF,European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,,01 affiliation,international,http://www.esrf.eu/,http://www.esrf.eu/,Frankreich,Grenoble,45.208778,5.690056,https://ror.org/02550n020
root.ess,,01 in preparation,root,ess,,checked,ESS,Europäische Spallationsquelle,European Spallation Source,,01 affiliation,international,https://europeanspallationsource.se/,https://europeanspallationsource.se/,Schweden,Lund,55.708268,13.223475,https://ror.org/01wv9cn34
root.eu-xfel,,01 in preparation,root,eu-xfel,,checked,eu.XFEL,European XFEL,European X-Ray Free-Electron Laser Facility,,01 affiliation,international,https://www.xfel.eu,https://www.xfel.eu,Deutschland,Schenefeld,54.050000,9.483330,https://ror.org/01wp2jz98
root.fair,,01 in preparation,root,fair,,checked,FAIR,Internationale Beschleuniger-Anlage zur Forschung mit Antiprotonen und Ionen,Facility for Antiproton and Ion Research,,01 affiliation,international,https://fair-center.de,https://fair-center.eu/,Deutschland,Darmstadt,49.931389,8.679167,https://ror.org/053veeq82
root.fep,,01 in preparation,root,fep,,checked,FEP,Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik FEP,Fraunhofer Institute for Electron Beam and Plasma Technology FEP,,01 affiliation,fraunhofer,https://www.fep.fraunhofer.de,https://www.fep.fraunhofer.de,Deutschland,Dresden,51.029990,13.782143,https://ror.org/03vvewn46
root.fz-juelich,,01 in preparation,root,fz-juelich,,checked,FZJ,Forschungszentrum Jülich,Jülich Research Centre,,01 affiliation,hgf,https://www.fz-juelich.de,https://www.fz-juelich.de,Deutschland,Jülich,50.921490,6.362670,https://ror.org/02nv7yv05
root.gsi,,01 in preparation,root,gsi,,checked,GSI,GSI Helmholtzzentrum für Schwerionenforschung,GSI Helmholtz Centre for Heavy Ion Research,,01 affiliation,hgf,https://www.gsi.de/start/aktuelles.htm,https://www.gsi.de/start/aktuelles.htm,Deutschland,Darmstadt,49.871670,8.650270,https://ror.org/02k8cbn47
root.hij,,01 in preparation,root,hij,,checked,HIJ,Helmholtz-Institut Jena,Helmholtz Institute Jena,,01 affiliation,"university,hgf",https://www.hi-jena.de/en/,https://www.hi-jena.de/en/,Deutschland,Jena,50.934556,11.580699,https://ror.org/02rzw6h69
root.him,,01 in preparation,root,him,,checked,HIM,Helmholtz-Institut Mainz,Helmholtz Institute Mainz,,01 affiliation,"university,hgf",https://hi-mainz.de,https://hi-mainz.de,Deutschland,Mainz,49.992315,8.238344,https://ror.org/024thra40
root.hu-berlin,,01 in preparation,root,hu-berlin,,checked,HU Berlin,Humboldt-Universität zu Berlin,Humboldt University of Berlin ,,01 affiliation,university,https://www.hu-berlin.de/?set_language=en&cl=en,https://www.hu-berlin.de/?set_language=en&cl=en,Deutschland,Berlin,52.524370,13.410530,https://ror.org/01hcx6992
root.hzb,,01 in preparation,root,hzb,,checked,HZB,Helmholtz-Zentrum Berlin für Materialien und Energie,Helmholtz-Zentrum Berlin,,01 affiliation,hgf,https://www.helmholtz-berlin.de/,https://www.helmholtz-berlin.de/,Deutschland,Berlin,52.524370,13.410530,https://ror.org/02aj13c28
root.hzdr,,01 in preparation,root,hzdr,,checked,HZDR,Helmholtz-Zentrum Dresden-Rossendorf,Helmholtz-Zentrum Dresden-Rossendorf,,01 affiliation,hgf,https://www.hzdr.de,https://www.hzdr.de,Deutschland,Dresden,51.050890,13.738320,https://ror.org/01zy2cs03
root.hzg,,01 in preparation,root,hzg,,checked,HZG,Helmholtz-Zentrum Hereon,Helmholtz-Zentrum Hereon,,01 affiliation,hgf,https://www.hereon.de/,https://www.hereon.de/,Deutschland,Geesthacht,53.435750,10.377900,https://ror.org/03qjp1d79
root.kit,,01 in preparation,root,kit,,checked,KIT,Karlsruher Institut für Technologie,Karlsruhe Institute of Technology,,01 affiliation,"university,hgf",http://www.kit.edu/english/,http://www.kit.edu/english/,Deutschland,Karlsruhe,49.009370,8.404440,https://ror.org/04t3en479
root.mpik,,01 in preparation,root,mpik,,checked,MPIK,Max-Planck-Institut für Kernphysik,Max Planck Institute for Nuclear Physics,,01 affiliation,mpg,http://www.mpi-hd.mpg.de/mpi/en/start/,http://www.mpi-hd.mpg.de/mpi/en/start/,Deutschland,Heidelberg,49.407680,8.690790,https://ror.org/052d0h423
root.mpp,,01 in preparation,root,mpp,,checked,MPP,Max-Planck-Institut für Physik,Max Planck Institute for Physics,,01 affiliation,mpg,https://www.mpp.mpg.de/english/index.html,https://www.mpp.mpg.de/english/index.html,Deutschland,Munich,48.137430,11.575490,https://ror.org/0079jjr10
root.ptb,,01 in preparation,root,ptb,,checked,PTB,Physikalisch-Technische Bundesanstalt,German National Metrology Institute,,01 affiliation,national,https://www.ptb.de/cms/,https://www.ptb.de/cms/en.html,Deutschland,Braunschweig,52.265940,10.526730,https://ror.org/05r3f7h03
root.rwth-aachen,,01 in preparation,root,rwth-aachen,,checked,RWTH Aachen,Rheinisch-Westfälische Technische Hochschule Aachen,RWTH Aachen University,,01 affiliation,university,https://www.rwth-aachen.de/go/id/a/,https://www.rwth-aachen.de/cms/~a/root/lidx/1/,Deutschland,Aachen,50.776640,6.083420,https://ror.org/04xfq0f34
root.tu-darmstadt,,01 in preparation,root,tu-darmstadt,,checked,TU Darmstadt,Technische Universität Darmstadt,Technical University of Darmstadt,,01 affiliation,university,https://www.tu-darmstadt.de/index.de.jsp,https://www.tu-darmstadt.de/index.en.jsp,Deutschland,Darmstadt,49.871670,8.650270,https://ror.org/05n911h24
root.tu-dortmund,,01 in preparation,root,tu-dortmund,,checked,TU Dortmund,Technische Universität Dortmund,TU Dortmund University,,01 affiliation,university,https://www.tu-dortmund.de/en/,https://www.tu-dortmund.de/en/,Deutschland,Dortmund,51.514940,7.466000,https://ror.org/01k97gp34
root.tu-dresden,,01 in preparation,root,tu-dresden,,checked,TU Dresden,Technische Universität Dresden,Dresden University of Technology,,01 affiliation,university,https://tu-dresden.de,https://tu-dresden.de/?set_language=en,Deutschland,Dresden,51.050890,13.738320,https://ror.org/042aqky30
root.uni-bonn,,01 in preparation,root,uni-bonn,,checked,Uni Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn,University of Bonn,,01 affiliation,university,https://www.uni-bonn.de/de/,https://www.uni-bonn.de/en/,Deutschland,Bonn,50.734380,7.095490,https://ror.org/041nas322
root.uni-düsseldorf,,01 in preparation,root,uni-düsseldorf,,checked,HHU,Heinrich-Heine-Universität Düsseldorf,Heinrich Heine University Düsseldorf,,01 affiliation,university,https://www.hhu.de,http://www.uni-duesseldorf.de/home/en/home.html,Deutschland,Düsseldorf,51.221720,6.776160,https://ror.org/024z2rq82
root.uni-erlangen,,01 in preparation,root,uni-erlangen,,checked,Uni Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-University Erlangen-Nürnberg,,01 affiliation,university,https://www.fau.de/,https://www.fau.eu,Deutschland,Erlangen,49.590990,11.007830,https://ror.org/00f7hpc57
root.uni-frankfurt,,01 in preparation,root,uni-frankfurt,,checked,Uni Frankfurt,Goethe-Universität Frankfurt am Main,Goethe University Frankfurt,,01 affiliation,university,https://www.uni-frankfurt.de/de,http://www.goethe-university-frankfurt.de/en,Deutschland,Frankfurt am Main,50.115520,8.684170,https://ror.org/04cvxnb49
root.uni-goettingen,,01 in preparation,root,uni-goettingen,,checked,Uni Göttingen,Georg-August-Universität Göttingen,University of Göttingen,,01 affiliation,university,http://www.uni-goettingen.de/en/1.html,http://www.uni-goettingen.de/en/1.html,Deutschland,Göttingen,51.534430,9.932280,https://ror.org/01y9bpm73
root.uni-hamburg,,01 in preparation,root,uni-hamburg,,checked,Uni Hamburg,Universität Hamburg,Hamburg University,,01 affiliation,university,http://www.uni-hamburg.de,https://www.uni-hamburg.de/en.html,Deutschland,Hamburg,53.550730,9.993020,https://ror.org/00g30e956
root.uni-jena,,01 in preparation,root,uni-jena,,checked,Uni Jerna,Friedrich-Schiller-Universität Jena,Friedrich Schiller University Jena,,01 affiliation,university,https://www.uni-jena.de/en,https://www.uni-jena.de/en,Deutschland,Jena,50.928780,11.589900,https://ror.org/05qpz1x62
root.uni-kassel,,01 in preparation,root,uni-kassel,,checked,Uni Kassel,Universität Kassel,University of Kassel,,01 affiliation,university,http://www.uni-kassel.de/uni/,https://www.uni-kassel.de/uni/en/,Deutschland,Kassel,51.316670,9.500000,https://ror.org/04zc7p361
root.uni-mainz,,01 in preparation,root,uni-mainz,,checked,Uni Mainz,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg University Mainz,,01 affiliation,university,https://www.uni-mainz.de,https://www.uni-mainz.de/en/,Deutschland,Mainz,49.984190,8.279100,https://ror.org/023b0x485
root.uni-rostock,,01 in preparation,root,uni-rostock,,checked,Uni Rostock,Universität Rostock,University of Rostock,,01 affiliation,university,http://www.uni-rostock.de/en/,http://www.uni-rostock.de/en/,Deutschland,Rostock,54.088700,12.140490,https://ror.org/03zdwsf69
root.uni-siegen,,01 in preparation,root,uni-siegen,,checked,Uni Siegen,Universität Siegen,University of Siegen,,01 affiliation,university,https://www.uni-siegen.de/start/index.html.en?lang=en,https://www.uni-siegen.de/start/index.html.en?lang=en,Deutschland,Siegen,50.874810,8.024310,https://ror.org/02azyry73
root.uni-wuppertal,,01 in preparation,root,uni-wuppertal,,checked,Uni Wuppertal,Bergische Universität Wuppertal,University of Wuppertal,,01 affiliation,university,http://www.uni-wuppertal.de/en/home.html,http://www.uni-wuppertal.de/en/home.html,Deutschland,Wuppertal,51.256270,7.148160,https://ror.org/00613ak93