"id","type","path","labelShortFormDe","labelLongFormEn","labelLongFormDe","descriptionDe","isA"
"/","","","ROOT",,,,
"/accelerating-method","accelerating-method","","Beschleunigungmethoden","accelerating methods","Beschleunigungmethoden","",""
"/accelerating-method/cavity-based","accelerating-method","cavity-based","Hohlraumbasierte Beschleunigungmethoden","cavity based acceleration","Hohlraumbasierte Beschleunigungmethode","",""
"/accelerating-method/cavity-based/cavity-based_laser-driven_acceleration","accelerating-method","cavity-based","Hohlraumbasierte lasergetriebene Beschleunigung","cavity based laser driven acceleration","","",""
"/accelerating-method/cavity-based/cavity-based_radiofrequency-driven_acceleration","accelerating-method","cavity-based","Hohlraumbasierte hochfrequenzgetriebene Beschleunigung","cavity based radiofrequency driven acceleration","","",""
"/accelerating-method/cavity-based/cavity-based_radiofrequency-driven_acceleration/superconducting","accelerating-method","cavity-based/cavity-based_radiofrequency-driven_acceleration","supraleitende hohlraumbasierte hochfrequenzgetriebene Beschleunigung","superconducting","","",""
"/accelerating-method/cavity-based/cavity-based_terahertz-driven_acceleration","accelerating-method","cavity-based","Hohlraumbasierte Terahertzstrahlung-getriebene Beschleunigung","cavity based terahertz driven acceleration","","",""
"/accelerating-method/plasma-based-acceleration","accelerating-method","/","Plasmabasierte Beschleunigung","plasma based acceleration","","",""
"/accelerating-method/plasma-based-acceleration/plasma-based_beam-driven_acceleration","accelerating-method","plasma-based-acceleration","Plasmabasierte teilchenstrahlgetriebene Beschleunigung","plasma based beam driven acceleration","","",""
"/accelerating-method/plasma-based-acceleration/plasma-based_laser-driven_acceleration","accelerating-method","plasma-based-acceleration","Plasmabasierte lasergetriebene Beschleunigung","plasma based laser driven acceleration","Plasmabasierte lasergetriebene Beschleunigung","",""
"/accelerator-based-facility","","","Beschleunigerbasierte Anlagen","Accelerator-based facilities","Beschleunigerbasierte Anlagen","Aktuelle oder in Konzeption befindliche Anlagen, die beschleunigerbasiert sind.",""
"/accelerator-based-facility-type","accelerator-based-facility-type","","Beschleunigerbasierte Anlagentypen","accelerator-based-facility-types","Beschleunigerbasierte Anlagentypen","",""
"/accelerator-based-facility-type/mass-spectroscope","accelerator-based-facility-type","","Massenspektroskop","mass spectroscope","Massenspektroskop","",""
"/accelerator-based-facility-type/medical-facility","accelerator-based-facility-type","medical-facility","medical-facility","medical-facility","medical-facility","",""
"/accelerator-based-facility-type/medical-facility/radioisotope-cyclotron","accelerator-based-facility-type","medical-facility","Laborzyklotron","radioisotope cyclotron","Laborzyklotron zur Erzeugung von Radionukliden oder zur Protonentherapie","",""
"/accelerator-based-facility-type/neutron-source","accelerator-based-facility-type","neutron-source","Neutronenquellen","neutron sources","Neutronenquellen","",""
"/accelerator-based-facility-type/neutron-source/compact-accelerator-based-neutron-source","accelerator-based-facility-type","neutron-source","Kompakte Beschleuniger-Neutronenquelle","compact accelerator based neutron source","Kompakte Beschleuniger-Neutronenquelle","",""
"/accelerator-based-facility-type/neutron-source/spallation-neutron-source","accelerator-based-facility-type","neutron-source","Spallationsneutronenquelle","spallation neutron source","Spallationsneutronenquelle","",""
"/accelerator-based-facility-type/particle-collider","accelerator-based-facility-type","/","Teilchen-Collider","particle collider","Teilchen-Collider","In einem Teilchen-Collider werden zwei entgegengesewtzt beschleunigte Teilchenstrahlen zusammenführt, so dass die Teilchen miteinander kollidieren können. Im Vergleich zu Anlagen, bei denen ein beschleungter Teilchenstrahl auf ein ruhendes Ziel stößt, können Collider höhere Kollisionsenergien erreichen. Kollider können entweder aus Ringbeschleunigern oder Linearbeschleunigern bestehene.",""
"/accelerator-based-facility-type/particle-collider/circular-particle-collider","accelerator-based-facility-type","particle-collider","Ring-Collider","circular particle collider","Ring-Collider","","#/accelerator-based-facility-type/particle-collider/"
"/accelerator-based-facility-type/particle-collider/circular-particle-collider/muon-collider","accelerator-based-facility-type","particle-collider/circular-particle-collider","Myon-Collider","muon collider","Myon-Collider","Ein Myon-Collider ist ein ringbasierter Doppelbeschleuniger, in dem Myonen (elektronenähnliche Teilchen mit der 206-fachen Masse) zur Kollision gebracht werden. Das Konzept befindet sich derzeit in der Konzeptionsphase und hat gegenüber Elektronencollidern wesentliche Vorteile. Aufgrund der höheren Masse verlieren die Teilchen weniger Energie durch  Synchrotronstrahlung, so dass ein 10 km Myon-Collider ähnliche Energien erreichen könnte wie ein 90 km Protonen-Collider. Die größten technischen Herausforderungen sind die kurze Lebensdauer der Myonen (2,2 µs), die eine schnelle Beschleunigung erfordert. Außerdem wird eine kontinuierliche Myonenquelle benötigt. Trotz der technischen Herausforderungen zeigen diese Fortschritte, dass ein Myon-Collider eine realistische Option für zukünftige Hochenergiephysik-Experimente sein könnte.","/accelerator-based-facility-type/particle-collider/"
"/accelerator-based-facility-type/particle-collider/higgs-factory","accelerator-based-facility-type","particle-collider","Higgs-Fabrik","higgs factory","Higgs-Fabrik","Als Higgs-Fabrik wird die dem LHC-nachfolgende Generation eines Teilchen-Colliders für die Hochenergiephysik bezeichnet, bei der anstelle von Protonen Elektronen und ihre Antiteilchen kollidieren.","/accelerator-based-facility-type/particle-collider/"
"/accelerator-based-facility-type/particle-collider/linear-particle-collider","accelerator-based-facility-type","particle-collider","Linear-Collider","linear particle collider","Linear-Collider","Ein Linear-Collider ist eine Doppelbeschleuniger-Anlage, die aus zwei Linear-Beschleunigern besteht.","/accelerator-based-facility-type/particle-collider/"
"/accelerator-based-facility-type/photon-source","accelerator-based-facility-type","","Photonenqelle","photon source","Beschleunigerbasierte Photonenqelle","In beschleunigerbasierten Photonenquellen werden beschleunigte Teilchen genutzt, um hochintensive Lichtblitze für wissenschaftliche Untersuchungen zu erzeugen.  SIe sind unverzichtbare Werkzeuge für  Spitzenforschung in zahlreichen wissenschaftlichen Disziplinen und tragen wesentlich zu Innovationen in Bereichen wie Gesundheit, Energie, Umwelt und Informationstechnologie bei. Zwei Arten von Photonenquellen ergänzen sich in ihren Eigenschaften: Synchrotronquellen erzeugen kurze Lichtpulse mit hoher Gesamtintensität, Freie-Elektronen-Laser erzeugen ultrakurze, extrem intensive Laserblitze.","#/accelerator-based-facility-type/"
"/accelerator-based-facility-type/photon-source/free-electron-laser","accelerator-based-facility-type","photon-source","Freie-Elektronen Laser","free electron laser","Freie-Elektronen Laser","Freie-Elektronen Laser (FEL) sind beschleunigerbasierte Photonenquellen, die hochintensive, extrem kurze, laserartige Strahlungspulse erzeugen. Aufgrund der Kürze der Pulse lassen sich ultraschnelle Prozesse untersuchen.",""
"/accelerator-based-facility-type/photon-source/free-electron-laser/seeded","accelerator-based-facility-type","photon-source/free-electron-laser","Freie-Elektronen Laser, seeded","free-electron-laser, seeded","Freie-Elektronen Laser, seeded","",""
"/accelerator-based-facility-type/photon-source/synchrotron-light-source","accelerator-based-facility-type","photon-source/synchrotron-light-source","Synchrotronlichtquelle","synchrotron radiation source","Synchrotronlichtquelle","Synchrotronstrahlungsquellen sind beschleunigerbasierte Photonenquellen, in denen Elektronen auf nahezu Lichtgeschwindigkeit beschleunigt und auf einer ringförmigen Bahn in einem Speicherring gehalten werden.  Durch Ablenkung der Elektronen in speziellen magnetischen Strukturen (Undulatoren und Wiggler) wird parallel zur Bewegungsrichtung Synchrotronstrahlung erzeugt.",""
"/accelerator-based-facility-type/photon-source/synchrotron-light-source/3th-generation","accelerator-based-facility-type","photon-source/synchrotron-light-source","Synchrotronlichtquelle (3. Gen.)","synchrotrn radiation source (3rd gen)","Synchrotronlichtquelle (3. Gen.)","",""
"/accelerator-based-facility-type/photon-source/synchrotron-light-source/4th-generation","accelerator-based-facility-type","photon-source/synchrotron-light-source","Synchrtronlichtquelle (4. Gen.)","synchrotrn radiation source (4th gen)","","",""
"/accelerator-based-facility/awake","accelerator-based-facility","","AWAKE","AWAKE","AWAKE","",""
"/accelerator-based-facility/berlinpro","accelerator-based-facility","","BerlinPro","berlinpro","BerlinPro","",""
"/accelerator-based-facility/bessy2__vsr","accelerator-based-facility","","BESSY II VSR","BESSY II VSR","BESSY II VSR","",""
"/accelerator-based-facility/cstart","accelerator-based-facility","","cStart","compact STorage ring for Accelerator Research and Technology","kompakter STorage-Ring für Beschleunigerforschung und -technologie","Forschungsprojekt am Karlsruher Institut für Technologie (KIT) mit dem Ziel die Grenzen der Teilchenspeicherung und -manipulation in kompakten Ringbeschleunigern zu erweitern. Die Erprobung neuer Beschleunigertechnologien und -konzepte könnte in Zukundft kompakter Lichtquellen und Nutzereinrichtungen ermöglichen
Ziele sind: 1. Demonstration der erstmaligen Speicherung eines Elektronenstrahls aus einem Laser-Plasma-Beschleuniger (LPA) in einem kompakten Kreisbeschleuniger. 2. Untersuchung der Dynamik und Speicherung ultrakurzer Elektronenpaketen im Sub-Pikosekunden-Bereich. 3. Erforschung der Erzeugung und Nutzung kohärenter Synchrotronstrahlung im Terahertz-Bereich.",""
"/accelerator-based-facility/ersf__ebs","accelerator-based-facility","","ERSF-EBS","Extremely Brilliant Source","Extrem Brillante Lichtqueller","Die EBS gilt als die weltweit erste Synchrotronstrahlungsquelle der vierten Generation. Diese neue Generation von Strahlungsquellen zeichnet sich durch ihre außergewöhnliche Brillanz und Fokussierbarkeit aus. Die EBS erzeugt einen hundertmal brillanteren Röntgenstrahl als die vorherige Synchrotronstrahlungsquelle. Dies ermöglicht eine deutlich verbesserte Auflösung und Präzision bei Experimenten. Die Leistungssteigerung wird durch ein Hybrid Multi Bend Achromat (HMBA) Speicherring-Magnetgitterkonzept, das auf Ideen des deutschen Beschleunigerforschers Einfeld und Kollegen aus dem Jahr 1995 zurückgeht.",""
"/accelerator-based-facility/ess","accelerator-based-facility","","ESS","European Spallation Source","Europäische Spallationsquelle","Mit der Europäischen Spallationsquelle entsteht im schedischen Lund die leistungsstärkste Neutronenquelle. Bei einer Spallationsquelle werden beschleunigte Protonen auf ein Metallziel gelenkt und erzeugen dabei Neutronen. Wesentliche Komponenten der ESS ist daher ein Linearbeschleuniger, der Protonen einer Ionenquelle mit 75 keV (~1 % der Lichtgeschwindigkeit) auf 2 GeV (~95 % der Lichtgeschwindigkeit) beschleunigt. Aufgrund dieser großen Geschwidnigkeitsunterschiede müssen verschiedene Technologien in Reihe geschaltet werden. Der Beschleuniger verwendet sowohl normalleitende als auch supraleitende Kavitäten. Eine weitere technische Herausforderung stellt die hohe Protonenstrom??? da.",""
"/accelerator-based-facility/eupraxia","accelerator-based-facility","","EuPraxia","eupraxia","","",""
"/accelerator-based-facility/euxfel","accelerator-based-facility","","EuXFEL","euxfel","","",""
"/accelerator-based-facility/fair","accelerator-based-facility","","FAIR","FAIR","","",""
"/accelerator-based-facility/fcc","accelerator-based-facility","","FCC","FCC","","",""
"/accelerator-based-facility/flash__flash2020plus","accelerator-based-facility","","FLASH2020+","flash  flash2020plus","","",""
"/accelerator-based-facility/hbs","accelerator-based-facility","","HBS","High Brilliance accelerator-based neutron Source","Hochbrillanz-Beschleuniger-Neutronenquelle","Die Jülicher Hochbrillanz-Beschleuniger-Neutronenquelle (HBS) stellt ein neuartiges Konzept für eine kompakte beschleunigergetriebene Neutronenquelle dar, das die Lücke zwischen labororientierten Neutronenquellen im kleinen Maßstab wie Neutronengeneratoren oder beschleunigergetriebenen Quellen mit geringer Leistung (<1 kW) und reaktorbasierten Hochfluss- oder Spallationsneutronenquellen schließt.",""
"/accelerator-based-facility/ilc","accelerator-based-facility","","ILC","ilc","","",""
"/accelerator-based-facility/kara","accelerator-based-facility","","KARA","KARA","","",""
"/accelerator-based-facility/lhc","accelerator-based-facility","","LHC","Large Hadron Collider","Large Hadron Collider","",""
"/accelerator-based-facility/lhc__hl-lhc","accelerator-based-facility","","HL-LHC","High-Luminosity LHC","Hochluminositäts-LHC","",""
"/accelerator-based-facility/myrrha","accelerator-based-facility","","MYRRHA","Multi-purpose HYbrid Research Reactor for High-tech Applications","Mehrzweck-HYbrid-Forschungsreaktor für Hightech-Anwendungen","",""
"/accelerator-based-facility/nova-era","accelerator-based-facility","","NovaEra","nova era","NovaEra","",""
"/accelerator-based-facility/petra__petra3","accelerator-based-facility","","PETRA III","PETRA III","PETRA III","",""
"/accelerator-based-facility/petra__petra4","accelerator-based-facility","","PETRA IV","PETRA IV","PETRA IV","",""
"/accelerator-research-subfields","accelerator-research-subfields","","Beschleunigerforschungs-Bereiche","accelerator research subfields","Beschleunigerforschungs-Bereiche","",""
"/accelerator-research-subfields/cryogenics","accelerator-research-subfields","","Kältetechnik","cryogenics","Kältetechnik","",""
"/accelerator-research-subfields/geodesy-and-alignment","accelerator-research-subfields","","Vermessung und Ausrichtung","geodesy and alignment","Vermessung und Ausrichtung","",""
"/accelerator-research-subfields/instrumentation-and-diagnostics","accelerator-research-subfields","","Instrumentierung und Diagnose","instrumentation and diagnostics","Instrumentierung und Diagnose","",""
"/accelerator-research-subfields/ultra-high-vacuum","accelerator-research-subfields","","Ultrahochvakuumtechnologie","ultra high vacuum technology","Ultrahochvakuumtechnologie","",""
"/accelerator-subsystem","accelerator-subsystem","","Beschleuigungerkomponenten","accelerator subsystems","Beschleuigungerkomponenten","",""
"/accelerator-subsystem/collimator","accelerator-subsystem","","Kollimator","collimator","Kollimator","",""
"/accelerator-subsystem/magnet","accelerator-subsystem","","Magnet","magnet","Magnet","Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.",""
"/accelerator-subsystem/magnet/dipole-magnet","accelerator-subsystem","magnet","Dipolmagnet","dipole magnet","Dipolmagnet","Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden",""
"/accelerator-subsystem/magnet/kicker-magnet","accelerator-subsystem","magnet","Kickermagnet","kicker magnet","Kickermagnet","Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",""
"/accelerator-subsystem/magnet/quadrupole-magnet","accelerator-subsystem","magnet","Quadrupolmagnet","quadrupole magnet","Quadrupolmagnet","Ein Quadrupolmagnet ist eine spezielle Anordnung von vier Magnetpolen, die in Teilchenbeschleunigern und Strahlführungen zur Fokussierung von Teilchenstrahlen eingesetzt wird.  Er fokussiert den Strahl in einer Richtung (z. B. horizontal) und defokussiert ihn in der dazu senkrechten. Um eine Gesamtfokussierung zu erreichen, werden mehrere Quadrupole hintereinander angeordnet (FODO-Struktur).",""
"/accelerator-subsystem/magnet/sextupole-magnet","accelerator-subsystem","magnet","Quadrupolmagnet","quadrupole magnet","Quadrupolmagnet","Ein Sextupolmagnet besteht aus sechs Magnetpolen, die abwechselnd als Nord- und Südpol um eine Mittelachse angeordnet sind. Sie werden oft in Kombination mit Quadrupolmagneten verwendet, um Fokussierungsfehler, die durch Energieunterschiede der Teilchen entstehen, auszugleichen (chromatische Abberation).",""
"/accelerator-subsystem/power-converters","accelerator-subsystem","","Stromwandler","power converters","Stromwandler","",""
"/accelerator-type","accelerator-type","","Beschleunigertyp","Accelerator Type","Beschleunigertyp","",""
"/accelerator-type/cyclotron","accelerator-type","","Zyklotron","cyclotron","Zyklotron","",""
"/accelerator-type/erl","accelerator-type","","ERL","energy recovery linac","Energierückgewinnungs Lineatbeschleuniger","",""
"/accelerator-type/linac","accelerator-type","","Linear-Beschleuniger","linear collider","Linear-Beschleuniger","",""
"/accelerator-type/linac/high-power-proton-linac","accelerator-type","linac","Hochleistungs-Protonen-Linac","high power proton linac","Hochleistungs-Protonen-Linac","",""
"/accelerator-type/synchrotron","accelerator-type","","Synchrotron","synchrotron","Synchrotron","",""
"/application","application","","Anwendungen","Applications","Anwendungen","",""
"/application/health","application","health","Gesundheitsanwendungen","health","Gesundheitsanwendungen","",""
