name,title,title__short,type,facilities,lng,lat,professorships,professorCount,scientistCount,doctoralStudentCount,masterStudentCount,technicianCount,teaching,universityCourses,researchGroups,description
cern,CERN,CERN,non-university-research-organisation,"awake,clic,fcc,isolde,lhc ,fcc-ee,fcc-hh,fcc-eh,he-lhc,hl-lhc,lhc-run-1,lhc-run-2,lhc-run-3",6.0491670,46.2333330,,0,,,,,,,,
cfel,Center for Free-Electron Laser Science,CFEL,non-university-research-organisation,regae,9.8850670,53.5790478,,0,,,,,,,,
desy,DESY (Hamburg / Zeuthen),DESY,non-university-research-organisation,"flashforward,flash,petra,pitz,flash1+flash2,flash2020+,petra-ii,petra–iii,petra-iv,sinbad,ares,axsis,lux,plasmedx,kaldera",9.8805470,53.5758330,,0,79,28,,47,,,,
esrf,European Synchrotron Radiation Facility,ESRF,non-university-research-organisation,"esrf,esrf-ebs",5.6899270,45.2084770,,0,,,,,,,,
ess,European Spallation Source,ESS,non-university-research-organisation,ess,13.2495330,55.7341990,,0,,,,,,,,
eu-xfel,European XFEL GmbH,European XFEL  GmbH,non-university-research-organisation,"eu-xfel,eu-xfel-1.5,eu-xfel-2.0",9.8294440,53.5886110,,0,,,,,,,,
fair,FAIR GmbH,FAIR GmbH,non-university-research-organisation,fair,8.6791670,49.9313890,,0,3,1,,2,,,,
fg,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Fraunhofer-Gesellschaft,,,,,,0,,,,,,,,
fz-juelich,Forschungszentrum Jülich,FZJ,non-university-research-organisation,"cosy,hbns",6.4119440,50.9000000,,0,8,0,,0,,,,
gsi,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI (HIJ/HIM),non-university-research-organisation,phelix,8.6791670,49.9313890,,0,48,18,,9,,,,
hgf,Helmholtz-Gemeinschaft Deutscher Forschungszentren,Helmholtz-Gemeinschaft,,athena,,,,0,,,,,,,,
hij,Helmholtz-Institut Jena,HI Jena,non-university-research-organisation,,11.5807420,50.9345420,,0,,,,,,,,
him,Helmholtz-Institut Mainz,HI Mainz,non-university-research-organisation,,8.2350083,49.9915834,,0,,,,,,,,
hu-berlin,Humboldt-Universität zu Berlin,HU Berlin,university,,13.5333040,52.4321220,"jankowiak-andreas,kamps-thorsten",2,,,,,"hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__vorlesung,hu-berlin__ss24__physik-und-technik-moderner-teilchenbeschleuniger__übung,hu-berlin__ss24__das-1x1-der-beschleunigerphysik__seminar,hu-berlin__ss24__das-1x1-der-beschleunigerphysik__tutorium",hu-berlin.master-physik,"hzb__kamps,hzb__jankowiak",
hzb,Helmholtz-Zentrum Berlin,HZB,non-university-research-organisation,"berlinpro,bessy,mls,supralab,bessy-ii,bessy-ii/vsr,bessy-iii",13.5316504,52.4281941,,0,32,4,,19,,,"hzb__kamps,hzb__jankowiak",
hzdr,Helmholtz-Zentrum Dresden-Rossendorf,HZDR,non-university-research-organisation,"dali,ibc,elbe,draco",13.9497220,51.0636110,,0,26,8,,8,,,,
hzg,Helmholtz-Zentrum Hereon,HZH,non-university-research-organisation,,10.4225220,53.4108920,,0,2,0,,0,,,,
kit,Karlsruher Institut für Technologie,KIT,"non-university-research-organisation,university","kit-atp,cstart,flute,kara,mcf",8.4301190,49.0968148,"müller-anke-susanne,fuchs-matthias",2,46,7,,29,"kit____beschleunigerphysik__vorlesung,kit____hauptseminar:-moderne-teilchenbeschleuniger-und-forschung-mit-photonen__seminar,kit__ss24__advanced-seminar:-accelerators-and-detectors---future-technologies-for-research-and-medicine__seminar,kit__ws23__praktische-übungen-an-kara-zur-beschleunigerphysik__übung",,,
mpg,Max-Planck-Gesellschaft zur Förderung der Wissenschaften,Max-Planck-Gesellschaft,,,,,,0,,,,,,,,
mpik,Max-Planck-Institut für Kernphysik,MPIK,non-university-research-organisation,,8.7092464,49.3877780,,0,,,,,,,,
mpp,Max-Planck-Institut für Physik,MPP,non-university-research-organisation,,11.6131800,48.1855000,,0,,,,,,,,
ptb,Physikalisch-Technische Bundesanstalt,PTB,non-university-research-organisation,,10.4636110,52.2952780,,0,,,,,,,,
rwth-aachen,Rheinisch-Westfälische Technische Hochschule Aachen,RWTH Aachen,university,,6.0599110,50.7788560,"lehrach-andreas,pretz-jörg",2,,,,,"rwth-aachen____introduction-to-accelerator-physics__vorlesung,rwth-aachen____master's-seminar-accelerator-physics__seminar",rwth-aachen.master-physik,,
tu-darmstadt,Technische Universität Darmstadt,TU Darmstadt,university,s-dalinac,8.6569440,49.8750000,"boine-frankenheim-oliver,klingbeil-harald,pietralla-norbert,enders-joachim,de gersem-herbert,markus-roth",6,,,,,"tu-darmstadt____beschleunigerphysik__,tu-darmstadt____angewandte-supraleitung__,tu-darmstadt____plasmaphysik__,tu-darmstadt____-numerische-methoden-der-beschleunigerphysik-__,tu-darmstadt____seminar-zur-beschleunigerphysik-und-technik__seminar,tu-darmstadt____seminar-physik-und-technik-von-beschleunigern__seminar,tu-darmstadt____projektseminar-beschleunigertechnik__seminar","tu-darmstadt.master-physik,rmu.master-accelerator-science",,
tu-dortmund, Technische Universität Dortmund,TU Dortmund,university,delta,7.4142670,51.4924610,"vélez saiz-adolfo ,khan-shaukat,helml-wolfram",3,,,,,"tu-dortmund____beschleunigerphysik-i__,tu-dortmund____beschleunigerphysik-ii__,""tu-dortmund____beschleunigerphysik-und-synchrotronstrahlung,-anwendungen-in-der-festkörperphysik__seminar""","tu-dortmund.master-physik,tu-dortmund.master-medizintechnik",,
tu-dresden, Technische Universität Dresden,TU Dresden,university,,13.7266670,51.0280560,"cowan-thomas,schramm-ullrich",2,,,,,,,,
uni-bonn,Rheinische Friedrich-Wilhelms-Universität Bonn,Uni Bonn,university,elsa,7.1022220,50.7338890,bai-mei,1,,,,,,uni-bonn.master-physik,,
uni-duesseldorf,Heinrich-Heine-Universität Düsseldorf ,Uni Düsseldorf,university,,6.7941670,51.1902780,,0,,,,,,,,
uni-erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,Uni Erlangen,university,,,,,0,,,,,,,,
uni-frankfurt, Johann Wolfgang Goethe-Universität Frankfurt am Main,Uni Frankfurt am Main,university,franz,8.6513890,50.1194440,"podlech-holger,ratzinger-ulirch,franchetti-giuliano",3,,,,,"uni-frankfurt____linearbeschleuniger__,uni-frankfurt____beschleunigerseminar-__,uni-frankfurt____ringbeschleuniger-und-speicherringe__,uni-frankfurt____prosemniar:-hochleistungsbeschleuniger-und-deren-anwendungen----__seminar","uni-frankfurt.master-physik,rmu.master-accelerator-science",,
uni-goettingen, Georg-August-Universität Göttingen,Uni Goettingen,university,,9.9344750,51.5418610,hofsäss-hans-christian,1,,,,,,uni-goetting.master-physik,,
uni-hamburg,Universität Hamburg,Uni Hamburg,university,,9.9838890,53.5669440,"hillert-wolfgang,grüner-florian",2,,,,,"uni-hamburg____-physik-und-anwendungen-von-laser-plasma-beschleunigern__,uni-hamburg____beschleunigerphysik-i__,uni-hamburg____beschleunigerphysik-ii__,uni-hamburg____proseminar-theorie-und-praxis-moderner-beschleuniger__seminar,uni-hamburg____fel-seminar__seminar,uni-hamburg____seminar-zur-beschleunigerphysik__seminar",uni-hamburg.master-physik,,
uni-jena,Friedrich-Schiller-Universität Jena,Uni Jena,university,jeti,11.5894440,50.9294440,"kaluza-malte c.,stöhlker-thomas,fritzsche-stephan,paulus-gerhard",4,,,,,,,,
uni-kassel,Universität Kassel,Uni Kassel,university,,9.5075620,51.3227740,,0,,,,,,,,
uni-mainz,Johannes Gutenberg-Universität Mainz,Uni Mainz,university,"mami,mesa",8.2416670,49.9930560,"meseck-atoosa,hug-florian,aulenbacher-kurt",3,,,,,"uni-mainz____-höhere-beschleunigerphysik__,uni-mainz____spezielle-probleme-der-beschleunigerphysik-__seminar","uni-mainz-physik,rmu.master-accelerator-science",,
uni-rostock,Universität Rostock,Uni Rostock,university,,12.1333730,54.0881330,van rienen-ursula,1,,,,,uni-rostock____beschleunigertechnologie-und-strahldiagnose__,,,
uni-siegen,Universität Siegen,Uni Siegen,university,,8.0283330,50.9063890,knobloch-jens,1,,,,,"uni-siegen____einführung-in-die-beschleunigerphysik-ii__,uni-siegen____einführung-in-die-beschleunigerphysik-i__",,,
uni-wuppertal,Bergische Universität Wuppertal,Uni Wuppertal,university,,7.1494440,51.2452780,,0,,,,,,,,