"id","type","label","label__de","Leitung (Name)","professors","senior_scientists","post_docs","doctorands","msc_students","bsc_students"
"bfde","Community",,,,"0","0","0","0","0","0"
"bfde.kit","University / Universit채t","bfde.kit",,,"0","0","0","0","0","0"
"bfde.kit.ibpt","Institute / Institut","Institute for Beam Physics and Technology",,"Prof. Dr. rer. nat. Anke-Susanne M체ller","1","0","0","0","0","0"
"bfde.kit.ibpt.ardop1","Department / Abteilung","Accelerator Research and Development + Operations I","Beschleuniger-Forschung und -Entwicklung + Betrieb I","Prof. Dr. rer. nat. Matthias Fuchs","1","1","0","0","0","0"
"bfde.kit.ibpt.ardop1.accelerators","Group / Gruppe","Accelerators","Bechleuniger",,"0","1","0","0","0","0"
"bfde.kit.ibpt.ardop1.facilities","Team","Facilities","Anlagen",,"0","2","2","1","0","0"
"bfde.kit.ibpt.ardop1.bdt","Team","Beam Dynamics & Theory ","Strahldynamik & Theorie",,"0","1","1","5","0","0"
"bfde.kit.ibpt.ardop1.ci","Team","Controls & Instrumentation","Steuerung & Instrumente",,"0","1","0","0","0","0"
"bfde.kit.ibpt.ardop1.thzir","Group / Gruppe","Applications THz/IR ","THz/IR-Anwendungen",,"0","1","2","0","0","0"
"bfde.kit.ibpt.ardop2","Department / Abteilung","Accelerator Research and Development + Operations II","Beschleuniger-Forschung und -Entwicklung + Betrieb II",,"0","1","0","0","0","0"
"bfde.kit.ibpt.ardop2.it","Group / Gruppe","IT","IT",,"0","1","0","0","0","0"
"bfde.kit.ibpt.ardop2.aac","Group / Gruppe","Advanced Accelerator Concepts ","Neue Beschleunigerkonzepte",,"0","1","1","1","0","0"
"bfde.kit.ibpt.ardop2.id","Group / Gruppe","Insertion Devices","Insertion Devices","Prof. Dr.-Ing. Steffen Grohmann","0","4","0","0","0","0"
"bfde.kit.ibpt.ardop2.drd","Group / Gruppe","Diagnosis R&D","Diagnose R&D",,"0","1","0","0","0","0"
"bfde.kit.ibpt.ardop2.drd.funkner","Team",,,,"0","1","0","1","0","0"
"bfde.kit.ibpt.ardop2.drd.gethmann","Team",,,,"0","0","1","0","0","0"
"bfde.kit.ibpt.ardop2.drd.nasse","Team",,,,"0","1","0","1","0","0"
"bfde.kit.ibpt.ardop2.drd.niehues","Team",,,,"0","1","1","1","0","0"
"bfde.kit.ibpt.ardop2.drd.ai","Team","AI4Accelerators",,,"0","1","0","1","0","0"
"bfde.kit.ibpt.ardop2.drd.steinmann","Team",,,,"0","0","0","0","0","0"
"bfde.kit.ibpt.sst","Research Group / Forschungsgruppe","Superconducting System Technology","Supraleitende Systemtechnologie","Prof. Dr.-Ing. Steffen Grohmann","0","0","0","0","0","0"
"bfde.hzb","Helmholtz Institute","bfde.hzb","bfde.hzb",,"0","0","0","0","0","0"
"bfde.hzb.be","Division / Bereich","Accelerators","Bechleuniger","Prof. Dr. Andreas Jankowiak","0","0","0","0","0","0"
"bfde.hzb.be.ia","Institute / Institut","Accelerator Operation, Development and Technology - Operation BESSY II / MLS","Beschleuniger - Betrieb, Entwicklung und Technologie","Prof. Dr. Andreas Jankowiak","1","1","0","0","0","0"
"bfde.hzb.be.ia.ard","Department / Abteilung","Accelerator Operation and Technology","Beschleunigerforschung und -entwicklung","Prof. Dr. Andreas Jankowiak","0","0","0","0","0","0"
"bfde.hzb.be.ia.srbp","Department / Abteilung","Storage Rings and Beam Physics","Speicherringe und Strahlphysik","Dr. Markus Ries","0","1","0","0","0","0"
"bfde.hzb.be.ia.aot","Department / Abteilung","Accelerator Operation and Technology","Beschleunigerbetrieb und -technologie","Dr. Andreas Sch채licke","0","0","0","0","0","0"
"bfde.hzb.be.ias","Institute / Institut","Science and Technology of Accelerating Systems","Wissenschaft und Technologie von Beschleunigungssystemen","Prof. Dr. Jens Knobloch","2","1","2","5","0","0"
"bfde.hzb.be.ahbb","Department / Abteilung","High Brightness Beams","Hochbrillante Elektonenstrahlen","Prof. Dr. Thorsten Kamps","1","1","1","5","0","0"
"bfde.hzb.be.apt","Department / Abteilung","Protons for Therapy","Protonentherapie","Prof. Dr. Andrea Denker","1","2","0","1","0","0"
"bfde.hzb.wi","Division / Bereich","Scientific Instrumentation and Support","Wissenschaftliche Instrumentierung und Unterst체tzung",,"0","0","0","0","0","0"
"bfde.hzb.wi.aund","Department / Abteilung","Undulators","Undulatoren","Prof. Dr. Atoosa Meseck","1","1","2","0","0","0"